case_id,int_mode,prepost_status,sample_type,trans_id,trans_contact,trans_therm,trans_military,trans_bathroom,trans_sports_pre,trans_sports_post,trans_sports_prepost,trans_discrim,gay_id,gay_contact,gay_therm,gay_adoption,gay_marriage,gay_elect,gay_discrim,resp_partyid,resp_race,resp_age,resp_edu,weight,psu,stratum,sample_mode
202903,2,1,2,2.0,,,,1.0,4.0,,4.0,,1.0,,,1.0,1.0,,1.0,3.0,3.0,34.0,14.0,,,,no_design
202951,2,2,2,2.0,2.0,0.0,7.0,7.0,2.0,,2.0,3.0,1.0,1.0,50.0,2.0,4.0,5.0,2.0,3.0,1.0,63.0,16.0,0.428637991501142,1.0,63.0,ftf_web_papi
203023,3,2,2,,,70.0,,,,1.0,1.0,,,,80.0,,,,,3.0,1.0,77.0,,0.271772931291837,3.0,76.0,ftf_web_papi
203029,3,2,2,,,50.0,,,,7.0,7.0,,,,50.0,,,,,5.0,1.0,68.0,,0.971874942182264,2.0,77.0,ftf_web_papi
203035,2,2,2,2.0,1.0,85.0,2.0,2.0,4.0,,4.0,2.0,1.0,1.0,100.0,1.0,,4.0,1.0,3.0,1.0,56.0,12.0,0.750005942288493,2.0,78.0,ftf_web_papi
203041,2,2,2,2.0,2.0,15.0,6.0,6.0,1.0,,1.0,1.0,1.0,1.0,60.0,1.0,1.0,5.0,1.0,6.0,1.0,44.0,13.0,0.844795902847317,3.0,78.0,ftf_web_papi
203053,2,2,2,2.0,2.0,,4.0,6.0,4.0,,4.0,3.0,1.0,2.0,50.0,2.0,,3.0,1.0,2.0,1.0,71.0,10.0,0.166429076327671,3.0,80.0,ftf_web_papi
203066,3,2,2,,,0.0,,,,1.0,1.0,,,,70.0,,,,,7.0,1.0,47.0,,0.263109665226997,35.0,33.0,ftf_web_papi
203103,2,2,2,2.0,2.0,40.0,4.0,7.0,1.0,,1.0,4.0,1.0,2.0,50.0,1.0,,5.0,1.0,6.0,1.0,61.0,11.0,1.20190655582863,36.0,33.0,ftf_web_papi
203145,2,2,2,2.0,2.0,0.0,4.0,3.0,5.0,,5.0,4.0,1.0,2.0,40.0,2.0,4.0,3.0,4.0,4.0,2.0,42.0,4.0,0.413777630772688,37.0,33.0,ftf_web_papi
203177,2,2,2,2.0,2.0,50.0,1.0,4.0,4.0,,4.0,3.0,1.0,2.0,50.0,5.0,4.0,3.0,3.0,6.0,4.0,30.0,14.0,0.143764846284934,1.0,35.0,ftf_web_papi
203183,2,1,2,2.0,,,,7.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,5.0,1.0,70.0,10.0,,,,no_design
203189,2,2,2,2.0,2.0,100.0,1.0,7.0,1.0,,1.0,3.0,1.0,2.0,100.0,6.0,,5.0,4.0,7.0,3.0,38.0,9.0,2.90320311191754,3.0,38.0,ftf_web_papi
203195,2,1,2,2.0,,,,7.0,4.0,,4.0,,1.0,,,6.0,7.0,,4.0,6.0,1.0,39.0,13.0,,,,no_design
203201,2,1,2,2.0,,,,4.0,4.0,,4.0,,1.0,,,5.0,4.0,,1.0,4.0,3.0,49.0,8.0,,,,no_design
203207,2,2,2,2.0,1.0,100.0,1.0,4.0,4.0,,4.0,2.0,1.0,1.0,100.0,1.0,,3.0,1.0,2.0,1.0,45.0,10.0,0.247254652620159,2.0,42.0,ftf_web_papi
203219,2,2,2,2.0,1.0,100.0,1.0,1.0,7.0,,7.0,1.0,3.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,3.0,33.0,13.0,0.265149960327624,1.0,47.0,ftf_web_papi
203225,2,2,2,2.0,1.0,85.0,4.0,1.0,4.0,,4.0,1.0,4.0,1.0,85.0,1.0,1.0,3.0,1.0,3.0,1.0,33.0,13.0,0.224619941633802,5.0,51.0,ftf_web_papi
203231,2,2,2,2.0,1.0,85.0,1.0,4.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,,3.0,1.0,3.0,2.0,33.0,10.0,0.843132632629579,6.0,52.0,ftf_web_papi
203248,2,2,2,2.0,2.0,85.0,2.0,1.0,7.0,,7.0,1.0,1.0,2.0,70.0,2.0,,1.0,1.0,1.0,3.0,63.0,14.0,1.19899299677875,6.0,53.0,ftf_web_papi
203254,2,2,2,2.0,2.0,85.0,4.0,4.0,1.0,,1.0,1.0,1.0,2.0,70.0,5.0,6.0,2.0,1.0,1.0,2.0,55.0,14.0,1.91130563801675,4.0,55.0,ftf_web_papi
203290,2,2,2,2.0,2.0,50.0,1.0,4.0,2.0,,2.0,1.0,1.0,2.0,50.0,1.0,,5.0,1.0,3.0,2.0,60.0,10.0,1.56672103126781,5.0,57.0,ftf_web_papi
203301,3,2,2,,,0.0,,,,1.0,1.0,,,,0.0,,,,,2.0,2.0,51.0,,0.808913100420753,3.0,58.0,ftf_web_papi
203307,2,2,2,2.0,2.0,40.0,2.0,7.0,1.0,,1.0,2.0,1.0,1.0,60.0,1.0,,5.0,1.0,6.0,1.0,39.0,14.0,0.405751041492628,4.0,58.0,ftf_web_papi
203319,3,2,2,,,80.0,,,,4.0,4.0,,,,80.0,,,,,3.0,1.0,56.0,,1.76642770004509,3.0,59.0,ftf_web_papi
203325,2,2,2,2.0,2.0,,2.0,1.0,4.0,,4.0,3.0,1.0,2.0,,1.0,,5.0,1.0,1.0,1.0,80.0,9.0,0.672349137811546,3.0,60.0,ftf_web_papi
203331,2,2,2,2.0,2.0,60.0,3.0,2.0,4.0,,4.0,1.0,1.0,2.0,60.0,1.0,1.0,3.0,1.0,3.0,3.0,25.0,13.0,1.51065908767977,4.0,60.0,ftf_web_papi
203337,2,2,2,2.0,2.0,,6.0,7.0,1.0,,1.0,4.0,1.0,1.0,,2.0,,5.0,1.0,7.0,1.0,,9.0,4.13232712235381,5.0,60.0,ftf_web_papi
203343,3,2,2,,,50.0,,,,4.0,4.0,,,,50.0,,,,,4.0,1.0,64.0,,0.993924234111904,4.0,61.0,ftf_web_papi
203349,2,2,2,2.0,2.0,,4.0,4.0,4.0,,4.0,2.0,1.0,1.0,,1.0,,3.0,1.0,4.0,1.0,75.0,14.0,0.156377273129357,1.0,62.0,ftf_web_papi
203354,2,2,2,2.0,1.0,40.0,4.0,7.0,1.0,,1.0,1.0,1.0,1.0,50.0,2.0,4.0,5.0,2.0,4.0,1.0,79.0,11.0,0.235373981744781,2.0,62.0,ftf_web_papi
203372,2,2,2,2.0,2.0,50.0,4.0,4.0,2.0,,2.0,3.0,1.0,2.0,90.0,2.0,,3.0,2.0,7.0,1.0,59.0,9.0,3.62288266175212,1.0,66.0,ftf_web_papi
203378,3,2,2,,,50.0,,,,4.0,4.0,,,,50.0,,,,,1.0,3.0,75.0,,0.6129717928716,3.0,69.0,ftf_web_papi
203384,2,2,2,2.0,1.0,80.0,1.0,1.0,6.0,,6.0,1.0,1.0,1.0,90.0,1.0,,2.0,1.0,1.0,1.0,78.0,14.0,0.215610703699943,4.0,69.0,ftf_web_papi
203390,2,2,2,2.0,2.0,100.0,1.0,1.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,,14.0,0.334517646758035,5.0,71.0,ftf_web_papi
203408,2,2,2,2.0,2.0,50.0,4.0,6.0,6.0,,6.0,2.0,1.0,1.0,50.0,2.0,4.0,5.0,1.0,4.0,1.0,78.0,14.0,0.092727150239358,3.0,73.0,ftf_web_papi
203414,2,2,2,2.0,2.0,100.0,2.0,2.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,,2.0,4.0,1.0,1.0,74.0,13.0,0.86627017732368,4.0,74.0,ftf_web_papi
203462,2,2,2,2.0,2.0,40.0,4.0,4.0,2.0,,2.0,4.0,1.0,2.0,50.0,2.0,2.0,4.0,1.0,7.0,1.0,54.0,13.0,0.319900418822275,4.0,78.0,ftf_web_papi
203489,2,2,2,2.0,2.0,100.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,3.0,62.0,9.0,0.320655600893107,38.0,33.0,ftf_web_papi
203494,2,2,2,2.0,2.0,40.0,4.0,3.0,5.0,,5.0,5.0,1.0,2.0,50.0,5.0,,5.0,4.0,7.0,1.0,26.0,6.0,1.46524808320968,39.0,33.0,ftf_web_papi
